state_code,dist_code,court_no,court_historical_median_resolution,pending_cases_count
2,3,11,364.0,77586
2,3,12,406.0,80757
2,3,13,350.0,50986
2,3,14,350.0,46788
2,3,15,401.0,48528
2,3,16,322.0,46048
2,3,17,372.0,57253
2,3,18,373.0,33365
2,3,19,374.0,41301
2,3,20,374.0,29378
2,3,21,252.0,30151
2,3,22,197.0,25895
2,3,23,374.0,14247
2,3,24,467.0,20343
2,3,25,416.0,13570
2,3,26,474.0,16153
2,3,27,481.0,12741
2,3,28,607.0,7163
2,4,1,151.0,251317
2,4,2,359.0,139943
2,4,3,290.0,373392
2,4,4,230.0,178740
2,4,5,224.0,141642
2,4,6,344.0,99244
2,4,7,379.0,97725
2,4,8,257.0,81900
2,4,9,351.0,62638
2,4,10,307.0,60116
2,4,11,357.0,78532
2,4,12,405.0,80888
2,4,13,350.0,50974
2,4,15,401.0,48534
2,4,16,325.0,45830
2,4,17,380.0,56372
2,4,18,360.0,34045
2,4,19,367.0,42021
2,4,20,374.0,29377
2,4,21,259.0,29823
2,4,22,196.0,26019
2,4,23,301.0,16038
2,4,25,415.0,13589
2,4,26,469.0,16245
2,4,27,501.0,12387
2,4,28,959.0,4247
2,4,29,480.0,9286
2,4,32,664.0,427
2,4,33,193.5,1996
2,4,34,427.0,1631
2,5,1,154.0,249135
2,5,3,288.0,374237
2,5,4,223.0,181637
2,5,5,226.0,140987
2,5,7,377.0,98032
2,5,8,287.0,77514
2,5,9,583.0,44563
2,5,10,299.0,60806
2,5,11,357.0,78469
2,5,12,411.0,80042
2,5,13,350.0,50980
2,5,14,480.0,39452
2,5,15,404.0,48369
2,5,17,376.0,56783
2,5,18,374.0,33272
2,5,19,362.0,42656
2,5,21,1529.5,4666
2,5,22,181.0,27047
2,5,23,316.0,15614
2,5,24,477.0,20074
2,5,25,416.0,13563
2,5,26,473.0,16186
2,5,27,419.0,13934
2,5,28,608.0,7159
2,5,29,480.0,9284
2,5,31,477.0,4563
2,5,32,747.0,382
2,5,33,221.0,3573
2,5,34,414.0,1729
2,5,35,372.0,2358
2,5,36,575.0,845
2,5,37,265.0,2851
2,5,38,811.0,171
2,5,39,1180.5,8
2,5,41,1330.0,752
2,5,42,2416.5,6
2,5,43,2816.0,13
2,7,1,153.0,250007
2,7,3,287.0,375209
2,7,4,223.0,181524
2,7,7,380.0,97549
2,7,8,246.0,83443
2,7,10,298.0,60868
2,7,11,361.0,77993
2,7,12,406.0,80751
2,7,13,349.0,51069
2,7,14,375.0,45155
2,7,15,414.0,47583
2,7,16,331.0,45256
2,7,17,434.0,51333
2,7,18,360.0,34022
2,7,19,366.0,42143
2,7,20,390.0,28766
2,7,21,296.0,28222
2,7,22,181.0,27081
2,7,26,469.0,16263
2,7,27,467.0,12964
2,7,28,611.0,7130
2,7,29,480.0,9278
2,7,31,469.0,4645
2,10,1,156.0,248355
2,10,2,360.0,139707
2,10,3,293.0,370920
2,10,5,225.0,141566
2,10,6,380.0,92693
2,10,7,379.0,97770
2,10,8,246.0,83584
2,10,9,344.0,63467
2,10,10,298.0,60867
2,10,11,357.0,78504
2,10,12,408.0,80420
2,10,13,372.0,49176
2,10,14,350.0,46817
2,10,15,407.0,48114
2,10,16,323.0,45975
2,10,18,360.0,34006
2,10,19,370.0,41620
2,10,20,403.0,28256
2,10,21,245.0,30467
2,10,25,417.0,13546
2,10,26,469.0,16248
2,10,27,441.0,13515
2,10,28,725.5,6308
2,10,30,196.0,2736
2,11,1,152.0,250292
2,11,3,286.0,375716
2,11,4,223.0,181654
2,11,5,273.0,126099
2,11,6,341.0,99764
2,11,7,379.0,97772
2,11,8,247.0,83403
2,11,10,312.0,59662
2,11,11,364.0,77460
2,11,12,406.0,80814
2,11,13,664.0,28111
2,11,14,365.0,45790
2,11,15,402.0,48451
2,11,16,325.0,45815
2,11,17,372.0,57169
2,11,18,374.0,33273
2,11,19,363.0,42496
2,11,20,374.0,29362
2,11,21,245.0,30475
2,11,22,188.0,26514
2,11,23,322.0,15445
2,11,24,460.0,20545
2,11,25,917.0,6146
2,11,26,1072.5,5754
2,11,27,420.0,13915
2,11,28,614.0,7111
2,11,29,480.0,9285
2,11,30,195.5,2752
2,11,31,465.0,4671
2,15,1,156.0,248083
2,15,2,367.0,137710
2,15,3,282.0,378390
2,15,4,223.0,181655
2,15,5,231.0,139366
2,15,6,332.0,101366
2,15,7,499.5,81308
2,15,9,350.0,62864
2,15,10,312.0,59663
2,15,11,361.0,77995
2,15,12,409.0,80343
2,15,13,368.0,49598
2,15,14,352.0,46658
2,15,15,410.0,47894
2,15,16,332.0,45185
2,15,17,380.0,56363
2,15,18,371.0,33425
2,15,19,366.0,42144
2,17,1,152.0,250472
2,17,2,359.0,139768
2,17,3,283.0,377899
2,17,4,228.0,179522
2,17,5,224.0,141643
2,17,6,332.0,101412
2,17,7,368.0,99361
2,17,11,364.0,77611
2,17,12,412.0,79976
2,17,13,349.0,51061
2,17,17,372.0,57170
2,17,18,359.0,34072
2,17,19,362.0,42657
2,17,20,374.0,29380
2,17,21,414.0,24074
2,17,22,207.0,25340
2,17,23,310.0,15782
2,17,24,462.0,20492
2,17,25,416.0,13577
2,17,26,474.0,16161
2,17,27,418.0,13956
2,19,1,154.0,249126
2,19,3,290.0,373051
2,19,4,225.0,180876
2,19,5,225.0,141525
2,19,9,353.0,62527
2,19,10,306.0,60211
2,19,12,406.0,80765
2,19,13,384.0,48215
2,19,15,404.0,48364
2,19,16,330.0,45343
2,19,19,362.0,42647
2,19,20,377.0,29242
2,19,21,245.0,30479
2,19,22,190.0,26340
2,19,23,301.0,16037
2,19,24,484.0,19882
2,19,25,413.5,13622
2,19,26,480.0,16017
2,20,1,154.0,249145
2,20,2,658.0,77745
2,20,3,282.0,378919
2,20,4,223.0,181657
2,20,5,228.0,140513
2,20,6,330.0,101712
2,20,7,379.0,97741
2,20,8,262.0,81050
2,20,9,343.0,63499
2,20,10,355.0,56055
2,20,11,641.0,30439
2,20,12,415.0,79370
2,20,13,350.0,51022
2,20,15,415.0,47566
2,20,18,403.0,31771
2,20,19,370.0,41679
2,20,20,383.0,29046
2,20,21,247.0,30392
2,20,23,330.0,15274
2,20,24,927.0,8206
2,20,25,421.0,13482
2,20,26,469.0,16266
2,20,27,442.0,13490
2,20,28,602.0,7206
2,21,1,156.0,248112
2,21,2,455.0,117804
2,21,3,293.0,370755
2,21,4,223.0,181651
2,21,5,227.0,140838
2,21,6,334.0,101012
2,21,7,368.0,99449
2,21,8,256.0,82052
2,21,9,348.0,63022
2,21,12,416.0,79350
2,21,13,350.0,51056
2,21,15,406.0,48264
2,21,16,325.0,45795
2,21,17,407.0,53706
2,23,1,157.0,247831
2,23,2,374.0,136024
2,23,3,291.0,372594
2,23,4,223.0,181643
2,23,5,989.0,20661
2,23,6,334.0,101049
2,23,7,368.0,99458
2,23,8,266.0,80538
2,23,9,349.0,62901
2,23,10,298.0,60899
2,23,11,357.0,78427
2,23,12,455.0,73059
2,23,13,379.0,48608
2,23,14,354.0,46481
2,23,15,402.0,48482
2,23,16,493.0,31867
2,23,17,372.0,57233
2,23,18,590.0,23334
2,23,19,365.0,42185
2,23,20,397.0,28495
2,23,21,262.0,29709
2,23,22,179.0,27225
2,23,23,322.0,15462
2,23,24,468.0,20303
2,23,25,413.0,13636
2,23,26,470.0,16238
2,23,27,418.0,13950
2,23,28,603.0,7194
3,1,1,151.0,250884
3,1,2,355.0,141043
3,1,3,282.0,378622
3,1,4,349.0,130587
3,1,5,325.0,112485
3,1,6,1050.0,11377
3,1,7,368.0,99335
3,1,8,246.0,83474
3,1,9,349.0,62914
3,1,10,299.0,60828
3,1,11,357.0,78429
3,1,12,406.0,80846
3,1,13,350.0,51029
3,1,14,333.0,47866
3,1,15,402.0,48517
3,1,16,323.0,45977
3,1,17,371.0,57262
3,1,18,374.0,33292
3,1,19,363.0,42579
3,1,20,394.0,28612
3,1,21,253.0,30084
3,1,22,179.0,27226
3,1,23,302.0,16010
3,1,24,460.0,20546
3,1,25,413.0,13635
3,1,26,469.0,16260
3,1,27,419.0,13936
3,1,28,596.0,7232
3,1,34,417.0,1705
3,1,35,359.0,2392
3,1,36,407.0,1145
3,2,1,183.0,212687
3,2,2,354.0,141054
3,2,3,282.0,378735
3,2,4,228.0,179664
3,2,5,224.0,141614
3,2,6,329.0,101961
3,2,7,377.0,98036
3,2,8,246.0,83475
3,2,9,349.0,62927
3,2,10,299.0,60836
3,2,11,357.0,78493
3,2,12,406.0,80746
3,2,13,350.0,51023
3,2,14,349.0,46855
3,2,15,513.0,40453
3,2,16,323.0,45936
3,3,1,183.0,212604
3,3,2,355.0,140959
3,3,3,282.0,378623
3,3,6,329.0,102005
3,3,7,368.0,99385
3,3,8,256.0,82053
3,3,9,343.0,63508
3,3,10,298.0,60903
3,3,11,357.0,78450
3,3,12,407.0,80629
3,3,13,366.0,49754
3,3,14,333.0,47878
3,3,15,402.0,48518
3,4,1,172.0,232118
3,4,2,361.0,139344
3,4,3,282.0,378574
3,4,5,229.0,140109
3,4,6,330.0,101713
3,4,7,368.0,99319
3,4,8,252.0,82573
3,4,9,344.0,63443
3,4,10,350.0,56449
3,4,11,357.0,78506
3,4,12,407.0,80613
3,4,13,350.0,51039
3,4,14,333.0,47863
3,4,15,402.0,48485
3,4,16,333.0,45128
3,4,17,377.0,56765
3,4,18,359.0,34075
3,4,19,371.0,41600
3,5,1,185.0,208382
3,5,2,360.0,139524
3,5,3,287.0,374819
3,5,4,231.0,178022
3,5,5,230.0,139819
3,5,6,331.0,101524
3,5,7,370.0,99042
3,5,8,257.0,81905
3,5,9,343.0,63477
3,5,10,299.0,60831
3,5,11,386.0,74351
3,5,12,413.0,79670
3,6,1,153.0,250162
3,6,2,355.0,141018
3,6,3,301.0,365254
3,6,4,224.0,181472
3,6,5,228.0,140354
3,6,6,331.0,101647
3,6,7,368.0,99421
3,6,8,246.0,83564
3,6,9,344.0,63363
3,6,10,298.0,60900
3,6,11,357.0,78513
3,6,12,406.0,80731
3,7,1,164.0,242957
3,7,2,355.0,140972
3,7,3,291.0,372598
3,7,4,223.0,181527
3,7,5,225.0,141572
3,7,6,332.0,101414
3,7,7,379.0,97832
3,7,8,257.0,81872
3,7,10,298.0,60857
3,8,1,183.0,212475
