act,act_canonical,category
11243,ORDER 32 RULE 1 AND 2 OF CPC,Commercial
11249,ORDER 34 RULE 2 OF THE CPC,Commercial
11256,ORDER 37 RULE 1 AND 2 OF CPC,Commercial
11258,ORDER 39 RULE 1 OF CPC,Commercial
11289,ORDER 6 RULE 14 OF CPC,Commercial
11298,ORDER 7 RULE 1 AND 2 OF CPC,Commercial
11301,ORDER 7 RULE 1 AND 3 RW 26 CPC,Commercial
11302,ORDER 7 RULE 1 AND 4 OF CPC,Commercial
11303,ORDER 7 RULE 1 CPC,Commercial
11307,ORDER 7 RULE 1 OF CPC,Commercial
11308,ORDER 7 RULE 1 R.W 26 OF CPC,Commercial
11313,ORDER 7 RULE 3 R/W.26 OF CPC,Commercial
11315,ORDER 7 RULE 4 R/W 151 OF CPC,Commercial
11316,ORDER 7 RULE OF 1 CPC,Commercial
11317,ORDER 7 RULE OF 1 OF CPC,Commercial
11318,ORDER 7 RULE OF 10 CPC,Commercial
11339,ORDER 9 RULE 4 OF CPC,Commercial
11349,ORDER IX RULE 9 OF CPC,Commercial
11350,ORDER ON 7 RULE 1 OF CPC,Commercial
11351,ORDER RULE 1 OF CPC,Commercial
11357,ORDER VII RULE 1 TO 4 OF CPC,Commercial
11358,ORDER VII RULE 7 OF CPC,Commercial
11517,Order  32 Rule 1 and 2 CPC,Commercial
11523,Order 1 Rule 10 CPC,Commercial
11524,Order 1 Rule 8 CPC,Commercial
11526,Order 11 Rule 1 CPC,Commercial
11527,Order 11 Rule 14 CPC,Commercial
11528,Order 12 Rule 2 CPC,Commercial
11529,Order 12 Rule 6 CPC,Commercial
11531,Order 13 Rule 1 CPC,Commercial
11532,Order 13 Rule 10 CPC,Commercial
11534,Order 13 Rule 9 CPC,Commercial
11535,Order 14 Rule 5 CPC,Commercial
11537,Order 16 Rule 1 CPC,Commercial
11538,Order 16 Rule 6 CPC,Commercial
11542,Order 18 Rule 17 CPC,Commercial
11563,Order 20 Rule 18 R/w 54 CPC,Commercial
11575,Order 20 Rule 18 of CPC,Commercial
11607,Order 21 Rule 11 CPC,Commercial
11614,Order 21 Rule 11 of CPC,Commercial
11618,Order 21 Rule 11 of the Code of Civil Procedure,Commercial
11684,Order 21.r.11 of CPC,Commercial
11685,Order 22 Rule 10 CPC,Commercial
11688,Order 22 Rule 3 CPC,Commercial
11689,Order 22 Rule 4 CPC,Commercial
11691,Order 22 Rule 9 CPC,Commercial
11692,Order 22 of 2 read with section 151 of  CPC,Commercial
11695,Order 23 Rule 1 CPC,Commercial
11696,Order 23 Rule 3 CPC,Commercial
11699,Order 26  Rule 4A CPC,Commercial
11700,Order 26 Read with Order 7 Rule 1 of CPC,Commercial
11701,Order 26 Rule 10A CPC,Commercial
11702,Order 26 Rule 11 CPC,Commercial
11703,Order 26 Rule 4 CPC,Commercial
11704,Order 26 Rule 7  Rule 1 of  CPC,Commercial
11705,Order 26 Rule 9 CPC,Commercial
11715,Order 32 Rule 1 CPC,Commercial
11719,Order 32 Rule 3 CPC,Commercial
11720,Order 32 Rule 4 CPC,Commercial
11723,Order 32 Rule 7 CPC,Commercial
11734,Order 34 Rule 1 to 5 R W Sec 151 of CPC,Commercial
11743,"Order 34, Rule 1 and 2 R/w Sec. 26 of CPC",Commercial
11744,Order 37 Rule 3 CPC,Commercial
11745,Order 38 Rule 1 CPC,Commercial
11746,Order 38 Rule 5 CPC,Commercial
11747,Order 38 Rule 6 CPC,Commercial
11749,Order 39 R 1 and 2 read with Sec. 94 CIC and 151 of CPC,Commercial
11753,Order 39 Rule 1 and 2  of  CPC,Commercial
11754,Order 39 Rule 1 and 2 CPC,Commercial
11758,Order 39 Rule 1 and 3 CPC,Commercial
11759,Order 39 Rule 2A CPC,Commercial
11760,Order 39 Rule 3 CPC,Commercial
11762,Order 39 Rule 4 CPC,Commercial
11763,Order 39 Rule 7 CPC,Commercial
11767,Order 4 Rule 1 of CPC,Commercial
11768,Order 40 Rule 1 CPC,Commercial
11780,Order 41 Rule 1 CPC,Commercial
11797,Order 41 Rule 1 and Order 21 Rule 103 CPC,Commercial
11815,Order 41 Rule 5 CPC,Commercial
11871,Order 47 Rule 1 And Sec151 of CPC,Commercial
11878,Order 5 Rule 17 CPC,Commercial
11879,Order 5 Rule 20 CPC,Commercial
11881,Order 5 Rule 9A CPC,Commercial
11884,Order 6 Rule 14A CPC,Commercial
11885,Order 6 Rule 17 CPC,Commercial
11888,Order 7 R 1 and 2 CPC,Commercial
11896,Order 7 Rule 1 CPC and Sec 105 and 106 of T and M Marks Act 1958 and Sec 55  56  60 and 62 of CA Act,Commercial
11899,Order 7 Rule 1 R/W Sec 151 CPC,Commercial
11900,Order 7 Rule 1 R/W Section 26 of CPC,Commercial
11904,Order 7 Rule 1 RW Sec 26 CPC,Commercial
11909,Order 7 Rule 1 and 2 CPC,Commercial
11915,Order 7 Rule 1 and 2 of CPC 1908,Commercial
11916,Order 7 Rule 1 and 2 of CPC R/w Sec.151 of CPC,Commercial
11918,Order 7 Rule 1 and 2 r/w 26 of CPC,Commercial
11921,Order 7 Rule 1 and 2 r/w sec 26 CPC,Commercial
11924,Order 7 Rule 1 and 3 CPC,Commercial
11926,Order 7 Rule 1 and 3 R W 26 of CPC,Commercial
11929,Order 7 Rule 1 and 4 Rule 1 of CPC,Commercial
11936,Order 7 Rule 1 r/w sec 151 of CPC,Commercial
11938,Order 7 Rule 1 to 6 of CPC,Commercial
11940,Order 7 Rule 1 to 8 of CPC,Commercial
11943,Order 7 Rule 10 CPC,Commercial
11945,Order 7 Rule 11 CPC,Commercial
11946,Order 7 Rule 14 CPC,Commercial
11948,Order 7 Rule 1and  2 of CPC,Commercial
11949,Order 7 Rule 1and 2 CPC,Commercial
11951,Order 7 Rule 26 CPC,Commercial
11953,Order 7 Rule1 CPC,Commercial
11954,Order 7 Rule1and 2 CPC,Commercial
11955,Order 7 Rule1and 3  CPC,Commercial
11956,Order 7 Rules 1 and 2  of CPC.,Commercial
11958,Order 7 Rules 1 to 6 of CPC,Commercial
11960,Order 7 rule  1 and  3 r/w Sec 26  of CPC,Commercial
11962,Order 7 rule 1 and 2 and sec 26 cpc,Commercial
11969,Order 7 rule of 1 and 2 with 26 of cpc,Commercial
11972,"Order 7, R.1 and 2 R/W Sec.26 of CPC",Commercial
11973,"Order 7, Rules 1 to 8 CPC",Commercial
11975,Order 8 Rule 1 A CPC,Commercial
11977,Order 8 Rule 9 CPC,Commercial
12003,Order 9 Rule 7 CPC,Commercial
12020,Order 9 Rule 9 of CPC,Commercial
12045,Order VII Rule 1 CPC,Commercial
12048,Order VII Rule 1 R/w. Sec. 26 of CPC,Commercial
12050,Order VII Rule 1 and 2 R/w Sec 26 CPC,Commercial
12051,Order VII Rule 1 and 2 of CPC,Commercial
12052,Order VII Rule 1 and 3 Of CPC,Commercial
12054,Order VII Rule 1 of CPC,Commercial
12056,Order VII Rule 1 read with Sec 26 of CPC,Commercial
12059,Order VII Rule I of CPC,Commercial
12060,Order VII Rules 1 and 2 CPC,Commercial
12062,Order VII rule 151 of CPC,Commercial
12096,Order. 41 Rule 1 of CPC,Commercial
12099,Order7 Rule 1 of CPC,Commercial
12485,PLAINT FILED UNDER ORDER 23 RULE 3 A AND VII RULE 1 AND 2 OF CPC,Commercial
12489,PLAINT U/O. VII RULE 1 AND 2 OF CPC,Commercial
12983,Petition U/o 21 Rule 11 of CPC,Commercial
13035,Plaint UO VIII R 1 of CPC,Commercial
13036,Plaint under order VII Rule 3 of CPC,Commercial
13118,Possession and Recovery of Rent/Damages/Mesne profit\,Commercial
13873,PublicSuitsValidationAct,Commercial
14104,R/W 151 OF CPC,Commercial
14110,R/W SEC 26 OF CPC,Commercial
14286,"RECOVERY OF DEBTS DUE TO BANKS AND FINANCIAL INSTITUTIONS ACT, 1993",Commercial
14827,Recovery and Mesne Profit  \,Commercial
14832,Recovery of Debts Due to Banks and Financial Institutions  Act,Commercial
14834,Recovery of Khas possession,Commercial
14839,Recovery of Money  \,Commercial
14841,Recovery of Possession,Commercial
14843,Recovery of Possession and for damages,Commercial
14848,Recovery of surity amount,Commercial
14849,RecoveryofDebtsDuetoBanksandFinancialInstitutionsAct,Commercial
14937,Rent Recovery Act,Commercial
14943,RentRecoveryAct,Commercial
